     51/99     3.41G   0.03045  0.008662         0   0.03911        30       640    0.9811    0.9482    0.9751    0.7097   0.03921  0.009014         0
     52/99     3.41G   0.03047  0.008651         0   0.03912        31       640    0.9656    0.9567    0.9722    0.7128   0.03873  0.009004         0
     53/99     3.41G   0.02937  0.008484         0   0.03785        21       640    0.9765    0.9477    0.9711     0.712   0.04162  0.008719         0
     54/99     3.41G   0.03044  0.008656         0    0.0391        30       640    0.9788    0.9471    0.9719     0.714   0.04209   0.00867         0
     55/99     3.41G   0.02977  0.008508         0   0.03828        42       640    0.9755    0.9527    0.9734    0.7147   0.03905  0.008989         0
     56/99     3.41G   0.02875  0.008446         0    0.0372        35       640    0.9821     0.942    0.9738    0.7132   0.03667  0.009206         0
     57/99     3.41G   0.02969  0.008445         0   0.03813        30       640    0.9729    0.9477     0.971    0.7176   0.03486  0.009392         0
     58/99     3.41G    0.0297  0.008429         0   0.03813        32       640    0.9805    0.9454    0.9754    0.7208   0.03604  0.009255         0
     59/99     3.41G   0.02936   0.00838         0   0.03774        33       640    0.9845    0.9431    0.9753    0.7194   0.03683  0.009163         0
     60/99     3.41G    0.0299   0.00852         0   0.03842        45       640    0.9803     0.946     0.975    0.7199   0.03785  0.009022         0
     61/99     3.41G   0.02871  0.008292         0     0.037        35       640    0.9748    0.9488    0.9735    0.7207    0.0399  0.008798         0
     62/99     3.41G   0.03001  0.008518         0   0.03853        48       640    0.9799    0.9436    0.9734     0.719    0.0402  0.008784         0
     63/99     3.41G   0.02908  0.008378         0   0.03746        36       640    0.9834    0.9458    0.9745    0.7207   0.04041  0.008729         0
     64/99     3.41G   0.02897  0.008362         0   0.03733        45       640    0.9851    0.9454    0.9746    0.7208   0.04167  0.008611         0
     65/99     3.41G   0.02858  0.008255         0   0.03684        39       640    0.9846    0.9465     0.975    0.7202   0.04232  0.008551         0
     66/99     3.41G   0.02883  0.008308         0   0.03714        27       640    0.9729    0.9607    0.9743    0.7207   0.04223  0.008567         0
     67/99     3.41G   0.02932  0.008354         0   0.03768        38       640     0.975    0.9602    0.9743    0.7216   0.04173  0.008625         0
     68/99     3.41G   0.02888  0.008238         0   0.03711        34       640    0.9817    0.9516    0.9769    0.7212   0.04136  0.008677         0
     69/99     3.41G   0.02847   0.00834         0   0.03681        39       640    0.9817    0.9511    0.9772     0.722   0.04097  0.008729         0
     70/99     3.41G   0.02892  0.008261         0   0.03718        44       640      0.98    0.9511    0.9767    0.7229   0.04039  0.008797         0
     71/99     3.41G   0.02858  0.008227         0   0.03681        33       640    0.9806    0.9511    0.9741    0.7213   0.03995  0.008869         0
     72/99     3.41G   0.02772  0.007999         0   0.03572        37       640    0.9817    0.9482    0.9749    0.7209   0.03977   0.00889         0
     73/99     3.41G   0.02766  0.008113         0   0.03577        31       640    0.9818    0.9494    0.9755    0.7227   0.03963   0.00891         0
     74/99     3.41G    0.0276  0.008013         0   0.03561        26       640    0.9858    0.9454    0.9755    0.7216   0.03964  0.008921         0
     75/99     3.41G   0.02738  0.008116         0    0.0355        40       640    0.9864    0.9465    0.9763    0.7222   0.03972  0.008932         0
     76/99     3.41G   0.02796  0.008128         0   0.03609        25       640    0.9834    0.9511    0.9763     0.723   0.03966  0.008947         0
     77/99     3.41G   0.02709  0.008044         0   0.03513        39       640    0.9841    0.9522     0.976    0.7227   0.03952  0.008958         0
     78/99     3.41G   0.02717  0.007941         0   0.03511        35       640     0.984    0.9522    0.9758    0.7233   0.03939  0.008988         0
     79/99     3.41G   0.02757  0.007985         0   0.03556        34       640     0.983    0.9522    0.9771    0.7243    0.0393  0.009014         0
     80/99     3.41G   0.02727  0.007922         0    0.0352        43       640    0.9858    0.9511    0.9773    0.7243   0.03923  0.009028         0
     81/99     3.41G   0.02708  0.007952         0   0.03504        37       640    0.9881    0.9499    0.9775    0.7254   0.03915  0.009045         0
     82/99     3.41G   0.02732  0.007951         0   0.03527        34       640    0.9882    0.9499     0.978    0.7256     0.039  0.009067         0
